str_len,duration,ex1,-1
100001,3.5161,,
100001,4.1503,,
100001,3.4276,,
100001,3.5163,,
100001,4.0497,,
1000001,35.0707,,
1000001,34.7571,,
1000001,35.3354,,
1000001,34.2576,,
1000001,34.47,,
10000001,339.658,,
10000001,356.496,,
10000001,331.286,,
10000001,336.138,,
10000001,329.334,,
100000001,3301.15,,
100000001,3345.75,,
100000001,3355.69,,
100000001,3311.66,,
100000001,3348.69,,
1000000001,33051.3,,
1000000001,33810.7,,
1000000001,33583.5,,
1000000001,35079.9,,
1000000001,33499.9,,
