file_name,duration,phrase3,-1
11,0
11,0
11,0.001
11,0.001
11,0.001
11,0.001
11,0
11,0.001
11,0.001
11,0.001
101,0.001
101,0.001
101,0
101,0.001
101,0.001
101,0.001
101,0
101,0.001
101,0.001
101,0
1046,0.006
1046,0.005
1046,0.007
1046,0.006
1046,0.007
1068,0.022
1068,0.016
1068,0.006
1068,0.006
1068,0.006
10183,0.056
10183,0.067
10183,0.073
10183,0.066
10183,0.055
10745,0.058
10745,0.058
10745,0.057
10745,0.058
10745,0.058
48733,0.262
48733,0.384
48733,0.297
48733,0.314
48733,0.262
187153,1.165
187153,1.159
187153,1.06
187153,1.142
187153,1.2
559618,3.325
559618,3.415
559618,3.522
559618,4.185
559618,4.07
1010777,6.058
1010777,5.935
1010777,5.784
1010777,6.11
1010777,6.072
395529,2.2
395529,2.648
395529,2.217
395529,2.439
395529,2.379
2665788,15.369
2665788,15.303
2665788,15.528
2665788,15.206
2665788,15.197
4808754,26.88
4808754,28.476
4808754,27.127
4808754,27.307
4808754,26.834
24652312,133.977
24652312,134.076
24652312,137.829
24652312,133.874
24652312,139.355
48087540,266.546
48087540,270.407
48087540,266.411
48087540,264.369
48087540,268.982
